time	FADEC_LA_Corrected_N2_Speed
09:12:13:529	0.0
09:12:13:591	0.0
09:12:13:654	0.0
09:12:13:716	0.0
09:12:13:779	0.0
09:12:13:841	0.0
09:12:13:904	0.0
09:12:13:966	0.0
09:12:14:029	0.0
09:12:14:091	0.0
09:12:14:154	0.0
09:12:14:216	0.0
09:12:14:279	0.0
09:12:14:341	0.0
09:12:14:404	0.0
09:12:14:466	0.0
09:12:14:529	0.0
09:12:14:591	0.0
09:12:14:654	0.0
09:12:14:716	0.0
09:12:14:779	0.0
09:12:14:841	0.0
09:12:14:904	0.0
09:12:14:966	0.0
09:12:15:029	0.0
09:12:15:091	0.0
09:12:15:154	0.0
09:12:15:216	0.0
09:12:15:279	0.0
09:12:15:341	0.0
09:12:15:404	0.0
09:12:15:466	0.0
09:12:15:529	0.0
09:12:15:591	0.0
09:12:15:654	0.0
09:12:15:716	0.0
09:12:15:779	0.0
09:12:15:841	0.0
09:12:15:904	0.0
09:12:15:966	0.0
09:12:16:029	0.0
09:12:16:091	0.0
09:12:16:154	0.0
09:12:16:216	0.0
09:12:16:279	0.0
09:12:16:341	0.0
09:12:16:404	0.0
09:12:16:466	0.0
09:12:16:529	0.0
09:12:16:591	0.0
09:12:16:654	0.0
09:12:16:716	0.0
09:12:16:779	0.0
09:12:16:841	0.0
09:12:16:904	0.0
09:12:16:966	0.0
09:12:17:029	0.0
09:12:17:091	0.0
09:12:17:154	0.0
09:12:17:216	0.0
09:12:17:279	0.0
09:12:17:341	0.0
09:12:17:404	0.0
09:12:17:466	0.0
09:12:17:529	0.0
09:12:17:591	0.0
09:12:17:654	0.0
09:12:17:716	0.0
09:12:17:779	0.0
09:12:17:841	0.0
09:12:17:904	0.0
09:12:17:966	0.0
09:12:18:029	0.0
09:12:18:091	0.0
09:12:18:154	0.0
09:12:18:216	0.0
09:12:18:279	0.0
09:12:18:341	0.0
09:12:18:404	0.0
09:12:18:466	0.0
09:12:18:529	0.0
09:12:18:591	0.0
09:12:18:654	0.0
09:12:18:716	0.0
09:12:18:779	0.0
09:12:18:841	0.0
09:12:18:904	0.0
09:12:18:966	0.0
09:12:19:029	0.0
09:12:19:091	0.0
09:12:19:154	0.0
09:12:19:216	0.0
09:12:19:279	0.0
09:12:19:341	0.0
09:12:19:404	0.0
09:12:19:466	0.0
09:12:19:529	0.0
09:12:19:591	0.0
09:12:19:654	0.0
09:12:19:716	0.0
09:12:19:779	0.0
09:12:19:841	0.0
09:12:19:904	0.0
09:12:19:966	0.0
09:12:20:029	0.0
09:12:20:091	0.0
09:12:20:154	0.0
09:12:20:216	0.0
09:12:20:279	0.0
09:12:20:341	0.0
09:12:20:404	0.0
09:12:20:466	0.0
09:12:20:529	0.0
09:12:20:591	0.0
09:12:20:654	0.0
09:12:20:716	0.0
09:12:20:779	0.0
09:12:20:841	0.0
09:12:20:904	0.0
09:12:20:966	0.0
09:12:21:029	0.0
09:12:21:091	0.0
09:12:21:154	0.0
09:12:21:216	0.0
09:12:21:279	0.0
09:12:21:341	0.0
09:12:21:404	0.0
09:12:21:466	0.0
09:12:21:529	0.0
09:12:21:591	0.0
09:12:21:654	0.0
09:12:21:716	0.0
09:12:21:779	0.0
09:12:21:841	0.0
09:12:21:904	0.0
09:12:21:966	0.0
09:12:22:029	0.0
09:12:22:091	0.0
09:12:22:154	0.0
09:12:22:216	0.0
09:12:22:279	0.0
09:12:22:341	0.0
09:12:22:404	0.0
09:12:22:466	0.0
09:12:22:529	0.0
09:12:22:591	0.0
09:12:22:654	0.0
09:12:22:716	0.0
09:12:22:779	0.0
09:12:22:841	0.0
09:12:22:904	0.0
09:12:22:966	0.0
09:12:23:029	0.0
09:12:23:091	0.0
09:12:23:154	0.0
09:12:23:216	0.0
09:12:23:279	0.0
09:12:23:341	0.0
09:12:23:404	0.0
09:12:23:466	0.0
09:12:23:529	0.0
09:12:23:591	0.0
09:12:23:654	0.0
09:12:23:716	0.0
09:12:23:779	0.0
09:12:23:841	0.0
09:12:23:904	0.0
09:12:23:966	0.0
09:12:24:029	0.0
09:12:24:091	0.0
09:12:24:154	0.0
09:12:24:216	0.0
09:12:24:279	0.0
09:12:24:341	0.0
09:12:24:404	0.0
09:12:24:466	0.0
09:12:24:529	0.0
09:12:24:591	0.0
09:12:24:654	0.0
09:12:24:716	0.0
09:12:24:779	0.0
09:12:24:841	0.0
09:12:24:904	0.0
09:12:24:966	0.0
09:12:25:029	0.0
09:12:25:091	0.0
09:12:25:154	0.0
09:12:25:216	0.0
09:12:25:279	0.0
09:12:25:341	0.0
09:12:25:404	0.0
09:12:25:466	0.0
09:12:25:529	0.0
09:12:25:591	0.0
09:12:25:654	0.0
09:12:25:716	0.0
09:12:25:779	0.0
09:12:25:841	0.0
09:12:25:904	0.0
09:12:25:966	0.0
09:12:26:029	0.0
09:12:26:091	0.0
09:12:26:154	0.0
09:12:26:216	0.0
09:12:26:279	0.0
09:12:26:341	0.0
09:12:26:404	0.0
09:12:26:466	0.0
09:12:26:529	0.0
09:12:26:591	0.0
09:12:26:654	0.0
09:12:26:716	0.0
09:12:26:779	0.0
09:12:26:841	0.0
09:12:26:904	0.0
09:12:26:966	0.0
09:12:27:029	0.0
09:12:27:091	0.0
09:12:27:154	0.0
09:12:27:216	0.0
09:12:27:279	0.0
09:12:27:341	0.0
09:12:27:404	0.0
09:12:27:466	0.0
09:12:27:529	0.0
09:12:27:591	0.0
09:12:27:654	0.0
09:12:27:716	0.0
09:12:27:779	0.0
09:12:27:841	0.0
09:12:27:904	0.0
09:12:27:966	0.0
09:12:28:029	0.0
09:12:28:091	0.0
09:12:28:154	0.0
09:12:28:216	0.0
09:12:28:279	0.0
09:12:28:341	0.0
09:12:28:404	0.0
09:12:28:466	0.0
09:12:28:529	0.0
09:12:28:591	0.0
09:12:28:654	0.0
09:12:28:716	0.0
09:12:28:779	0.0
09:12:28:841	0.0
09:12:28:904	0.0
09:12:28:966	0.0
09:12:29:029	0.0
09:12:29:091	0.0
09:12:29:154	0.0
09:12:29:216	0.0
09:12:29:279	0.0
09:12:29:341	0.0
09:12:29:404	0.0
09:12:29:466	0.0
09:12:29:529	0.0
09:12:29:591	0.0
09:12:29:654	0.0
09:12:29:716	0.0
09:12:29:779	0.0
09:12:29:841	0.0
09:12:29:904	0.0
09:12:29:966	0.0
